algorithm,domain,problem,horizon,coverage,plan_length,total_time
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-4-0.pddl, 1, 0, NA, 0.72
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-4-1.pddl, 1, 0, NA, 0.67
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-4-2.pddl, 1, 0, NA, 0.73
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-5-0.pddl, 1, 0, NA, 0.74
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-5-1.pddl, 1, 0, NA, 0.75
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-5-2.pddl, 1, 0, NA, 0.69
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-6-0.pddl, 1, 0, NA, 0.71
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-6-1.pddl, 1, 0, NA, 0.72
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-6-2.pddl, 1, 0, NA, 0.73
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-7-0.pddl, 1, 0, NA, 0.76
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-7-1.pddl, 1, 0, NA, 0.79
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-7-2.pddl, 1, 0, NA, 0.77
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-8-0.pddl, 1, NA, NA, NA
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-8-1.pddl, 1, 0, NA, 0.77
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-8-2.pddl, 1, 0, NA, 0.85
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-9-0.pddl, 1, NA, NA, NA
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-9-1.pddl, 1, 0, NA, 0.91
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-9-2.pddl, 1, 0, NA, 0.94
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-10-0.pddl, 1, NA, NA, NA
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-10-1.pddl, 1, 0, NA, 1.03
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-10-2.pddl, 1, 0, NA, 0.96
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-11-0.pddl, 1, 0, NA, 1.02
main-fd-grounding+madagascar-horizon-1, blocks, probBLOCKS-11-1.pddl, 1, 0, NA, 1.01
