algorithm,domain,problem,horizon,coverage,total_time,plan_length
main-fd-grounding+madagascar-horizon-1, gripper, prob01.pddl, 1, 0, 0.57, NA
main-fd-grounding+madagascar-horizon-1, gripper, prob02.pddl, 1, 0, 0.62, NA
main-fd-grounding+madagascar-horizon-1, gripper, prob03.pddl, 1, 0, 0.66, NA
main-fd-grounding+madagascar-horizon-1, gripper, prob04.pddl, 1, 0, 0.62, NA
main-fd-grounding+madagascar-horizon-1, gripper, prob05.pddl, 1, 0, 0.72, NA
main-fd-grounding+madagascar-horizon-1, gripper, prob06.pddl, 1, 0, 0.67, NA
main-fd-grounding+madagascar-horizon-1, gripper, prob07.pddl, 1, 0, 1.43, NA
main-fd-grounding+madagascar-horizon-1, gripper, prob08.pddl, 1, 0, 0.7, NA
main-fd-grounding+madagascar-horizon-1, gripper, prob09.pddl, 1, 0, 0.76, NA
main-fd-grounding+madagascar-horizon-1, gripper, prob10.pddl, 1, 0, 0.79, NA
main-fd-grounding+madagascar-horizon-1, gripper, prob11.pddl, 1, 0, 0.8, NA
main-fd-grounding+madagascar-horizon-1, gripper, prob12.pddl, 1, 0, 0.82, NA
main-fd-grounding+madagascar-horizon-1, gripper, prob13.pddl, 1, 0, 0.81, NA
main-fd-grounding+madagascar-horizon-1, gripper, prob14.pddl, 1, 0, 0.85, NA
main-fd-grounding+madagascar-horizon-1, gripper, prob15.pddl, 1, 0, 0.87, NA
main-fd-grounding+madagascar-horizon-1, gripper, prob16.pddl, 1, 0, 0.89, NA
main-fd-grounding+madagascar-horizon-1, gripper, prob17.pddl, 1, 0, 0.93, NA
main-fd-grounding+madagascar-horizon-1, gripper, prob18.pddl, 1, 0, 1.0, NA
main-fd-grounding+madagascar-horizon-1, gripper, prob19.pddl, 1, 0, 3.05, NA
main-fd-grounding+madagascar-horizon-1, gripper, prob20.pddl, 1, 0, 1.03, NA
main-fd-grounding+madagascar-horizon-1, logistics00, probLOGISTICS-10-0.pddl, 1, 0, 0.87, NA
main-fd-grounding+madagascar-horizon-1, logistics00, probLOGISTICS-10-1.pddl, 1, 0, 0.88, NA
main-fd-grounding+madagascar-horizon-1, logistics00, probLOGISTICS-11-0.pddl, 1, 0, 0.87, NA
main-fd-grounding+madagascar-horizon-1, logistics00, probLOGISTICS-11-1.pddl, 1, 0, 0.86, NA
main-fd-grounding+madagascar-horizon-1, logistics00, probLOGISTICS-12-0.pddl, 1, 0, 0.87, NA
main-fd-grounding+madagascar-horizon-1, logistics00, probLOGISTICS-12-1.pddl, 1, 0, 0.87, NA
main-fd-grounding+madagascar-horizon-1, logistics00, probLOGISTICS-13-0.pddl, 1, 0, 1.23, NA
main-fd-grounding+madagascar-horizon-1, logistics00, probLOGISTICS-13-1.pddl, 1, 0, 1.21, NA
main-fd-grounding+madagascar-horizon-1, logistics00, probLOGISTICS-14-0.pddl, 1, 0, 1.27, NA
main-fd-grounding+madagascar-horizon-1, logistics00, probLOGISTICS-14-1.pddl, 1, 0, 1.23, NA
main-fd-grounding+madagascar-horizon-1, logistics00, probLOGISTICS-15-0.pddl, 1, 0, 1.35, NA
